OBJECTID,Park_Name,GlobalID
213,Sorell St Reserve,08cd6d84-a419-4d89-bf09-096fdf978dd7
216,Saunders Cres. Reserve,280611d6-6c0f-42a8-8e09-a491d38b70bf
220,Wendover Place Reserve,4e528c87-c459-4683-ac5b-b2868d377f4f
223,Southern Outlet Nature Strip,6feb7f8d-7da7-4c44-9de1-4334135dcc26
224,Regent Street Reserve,133b9843-363f-4961-9f6b-4bc679e7e157
226,Wilmslow Avenue Reserve,77cb0223-c172-43a1-9521-21de1491d52c
227,Buckley's Rest,ac8b2337-6ef5-49e1-8478-99b01c8e3333
229,Yaizu Court,3fcdfc00-b146-4eef-975f-38e7482c4c41
231,Nutgrove Beach Reserve No.2,41c8690b-bc46-4e1c-9c0f-c1457fa57ae8
232,St Davids Cathedral,bfa9d334-80db-4426-9231-160a253b7051
233,Salamanca Place Lawns,28578765-b624-4575-9bd8-61e25847d84a
234,Franklin Square,bcdd3213-6b98-4437-8805-9716296df085
235,A. J. White Park,0b8cd4e3-40d1-49cb-9b0b-3f893256a79a
236,Alexandra Battery Reserve,562a2783-98c4-4266-8c7a-0834b276eee0
239,Lansdowne Crescent School,3bf06770-7e58-4d76-9679-3df52280b080
240,Bond Store Gardens,97a781d1-d87c-4ef0-b8b4-779cadb18f9e
241,Museum Gardens,cd30a91f-0d9b-4cdd-b77b-0dc3f699a8e9
242,Narryna Folk Muesum,a3f25821-173e-410b-b1be-6cd8d8c476ad
243,Queens Walk Reserve,164f8034-0efc-4f74-b6bc-059cecfc3afa
263,Cornelian Bay Foreshore Reserve,7c4d5f09-f0dc-4f7a-adac-327aac9dd0e9
281,Hobart Rivulet Park,4ab1c36f-f741-4494-a42c-889c74b0068f
286,Lipscombe Ave ,434dba5f-f8cc-4584-b061-9488a8afb266
290,Marieville Esplanade,09763233-3b76-4242-9a30-a5ad34222d79
327,Inglis St Reserve,35b94094-0fed-44de-b629-fb20bd9f8c18
328,Buckingham Bowls Club,97b45b7d-2e5b-4cc6-99e7-e296fe3a262c
329,The Hobart Aquatic Centre,7e00632d-2927-4800-b569-e27c488dcdc7
330,New Town Senior Citizens Centre,5afd49f4-72d0-4470-965e-d238356f477a
331,New Town Community Hall,7de1b38c-bf44-449f-9117-2498ca58a8ce
332,Tas Ass Disabled Persons ,18bf8a9b-1b13-4acb-b785-e3d211c645da
333,Sandy Bay Sailing Club,2bcd4f92-1956-4940-b009-38319023c102
335,South Hobart Badminton Centre,527cad86-cf73-4674-8bcb-f119cd5b68ad
336,South Hobart Badminton Centre Carpark,067f6778-74fa-423b-b806-1ed2d711cccd
337,Domain Crossroads Oval,e7a019b7-8373-45b6-bb7c-f9ed796ade55
338,Domain Tennis Centre,9a765620-82e2-4ce3-a5e6-748f71ea9b77
339,John Turnbull Rec Oval,70327d85-4f8d-49df-a0ac-fb88438847a5
340,Queens Walk Oval,61b2e1ff-8d74-4c9a-9822-c07a341a7e42
342,Ham Common,a6631504-58b9-4709-80f0-1b3cc9e2142e
343,Cornelian Bay Hockey Centre,f6474ef6-2989-4be3-9ea0-2834fc6214e1
345,Southern Tasmanian Netball Association,aa0762f7-681c-48d6-b7f3-61aa1c380af6
346,New Town Croquet Club,c6e7da60-e36b-47b2-9d9e-0c82404607e7
350,Sandy Bay Croquet Club,136df305-f25d-4ba7-9c14-644443afd7fc
351,Derwent City Bowls Club,f73e305c-0628-44c9-9051-40f667e9e65b
353,Cornelian Bay Bayside Grounds,931ceda6-2681-4dab-8b25-5fd8170504da
354,Soldiers Memorial Oval,8075027a-e4f2-4767-a233-dddd41848d15
355,TCA Ground,a85964ab-6ea4-48eb-93d3-c2d29de46c06
